,exp,run,snapshot,pixel_similarity,structural_similarity,mean_squared_error,class
130,baseline_exp_appearance_1,d,0,1.0,1.0,0.0,buggy
131,baseline_exp_appearance_1,d,1,0.9641010199652778,0.9863138193332872,62.002001953125,buggy
132,baseline_exp_appearance_1,d,2,0.9549932183159722,0.9786244657321708,120.31074652777778,buggy
133,baseline_exp_appearance_1,d,3,0.9324446614583334,0.9556851271507754,417.5034239366319,buggy
134,baseline_exp_appearance_1,d,4,0.9421473524305556,0.9635017290656224,204.786458062066,buggy
135,baseline_exp_appearance_1,d,5,0.9489002821180555,0.9685418661862204,191.83813720703125,buggy
136,baseline_exp_appearance_1,d,6,0.9246755642361112,0.9497948186324864,474.11165988498266,buggy
137,baseline_exp_appearance_1,d,7,0.9305560980902776,0.9524902979217844,353.76268473307294,buggy
138,baseline_exp_appearance_1,d,8,0.9197905815972224,0.943255714398996,537.6432912868923,buggy
139,baseline_exp_appearance_1,d,9,0.8368722873263889,0.940956938868166,408.8051112196181,buggy
140,baseline_exp_appearance_1,e,0,1.0,1.0,0.0,buggy
141,baseline_exp_appearance_1,e,1,0.9641010199652778,0.9863138193332872,62.002001953125,buggy
142,baseline_exp_appearance_1,e,2,0.9556011284722222,0.9786366150123724,182.44363471137152,buggy
143,baseline_exp_appearance_1,e,3,0.9380368381076388,0.9604777949104052,363.0481391059028,buggy
144,baseline_exp_appearance_1,e,4,0.9309564887152778,0.9568032323884912,317.14576063368054,buggy
145,baseline_exp_appearance_1,e,5,0.9493804253472222,0.969023211958098,188.38706380208333,buggy
